Metric,TCN,Hybrid,Improvement
RMSE,84.55944948616931,72.25926447537424,14.546198071933894
MAE,66.06645958030053,60.03813895459516,9.124630961007139
R²,-3.8316352659424675,-2.528230272288954,-34.01693802222888
MAPE,9.071637303237294,8.128808177688077,10.39315279076204
