Metric,TCN,Hybrid,Improvement
RMSE,81.92201038151387,98.82950706866373,-20.638527556161055
MAE,60.97144680817994,82.61118002114576,-35.49158556306823
R²,-3.717569741056593,-5.865787929333896,57.78555179617813
MAPE,8.198148748733008,11.107406331644567,-35.48676258601887
