Index,Actual Price,Predicted Price,Error,Absolute Error,Percentage Error (%)
0,673.7999877929686,450.6159113168596,223.18407647610906,223.18407647610906,33.123193903156384
11,750.75,507.921090998323,242.828909001677,242.828909001677,32.344843023866396
23,703.0499877929688,583.6843675488007,119.3656202441681,119.3656202441681,16.978255076695685
35,755.5,658.086110012532,97.413889987468,97.413889987468,12.893962936792589
47,738.0999755859375,722.3984342873836,15.701541298553934,15.701541298553934,2.1272919411885
59,766.5499877929688,776.3122333923365,-9.762245599367702,9.762245599367702,1.2735302008776899
71,852.5999755859375,812.2977876153999,40.3021879705376,40.3021879705376,4.726975032205518
82,709.9000244140625,828.9831673433672,-119.0831429293047,119.0831429293047,16.774635699948536
94,718.0499877929688,825.0139554268379,-106.96396763386917,106.96396763386917,14.896451424313579
106,659.6500244140624,808.1774007544608,-148.5273763403984,148.5273763403984,22.51608744687437
118,706.9000244140625,775.5575581541096,-68.65753374004714,68.65753374004714,9.712481449828243
130,753.8499755859374,752.4218742058819,1.428101380055523,1.428101380055523,0.18944105940250472
142,749.5999755859375,767.3849151133408,-17.784939527403253,17.784939527403253,2.372590729275485
153,724.0000000000001,785.2122034401826,-61.21220344018252,61.21220344018252,8.454724232069408
165,752.0499877929688,813.6886690729997,-61.63868128003094,61.63868128003094,8.196088329303903
177,735.0999755859375,837.8169258842198,-102.71695029828231,102.71695029828231,13.973194627901888
189,683.8499755859375,842.197440803432,-158.34746521749446,158.34746521749446,23.15529295468921
201,745.1500244140625,829.5743929194022,-84.42436850533966,84.42436850533966,11.329848451890676
213,736.5999755859375,828.1704770709329,-91.57050148499536,91.57050148499536,12.43151025251589
225,744.2000122070314,817.7720318666223,-73.57201965959098,73.57201965959098,9.88605461607057
