Metric,Training,Test
MSE,2957.730265115529,11201.298976131488
RMSE,54.38501875623037,105.8361893500115
MAE,44.37248269518137,87.60942597212562
R2,-0.058253711615426695,-6.56899534181691
MAPE,11.150279218217173,12.123291336764453
